action,channelId,message_timestamp,run_id,test,loop,runs,channel,start_ts,status,end_ts,elapsed_sec_message,failures,chunk_file,power_samples,message_duration_sec
start,CH1,1773059028376,0D30CFB81421AD8B,APX1090-queryA.sql,1/1,100,CH1,1773059028376,complete,1773059146431,118.041274,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__APX1090-queryA.sql__1_1.csv,10366,118.055
start,CH1,1773059161454,0D30CFB81421AD8B,APX1090-queryB.sql,1/1,100,CH1,1773059161454,complete,1773059279203,117.735709,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__APX1090-queryB.sql__1_1.csv,10444,117.749
start,CH1,1773059294226,0D30CFB81421AD8B,APX1092-queryA.sql,1/1,100,CH1,1773059294226,complete,1773059446107,151.867089,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__APX1092-queryA.sql__1_1.csv,13717,151.881
start,CH1,1773059461130,0D30CFB81421AD8B,APX1092-queryB.sql,1/1,100,CH1,1773059461130,complete,1773059612805,151.660929,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__APX1092-queryB.sql__1_1.csv,13712,151.675
start,CH1,1773059627828,0D30CFB81421AD8B,APX1130-queryA.sql,1/1,100,CH1,1773059627828,complete,1773059822844,195.001963,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__APX1130-queryA.sql__1_1.csv,17540,195.016
start,CH1,1773059837867,0D30CFB81421AD8B,APX1130-queryB.sql,1/1,100,CH1,1773059837867,complete,1773060012158,174.277347,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__APX1130-queryB.sql__1_1.csv,15666,174.291
start,CH1,1773060027181,0D30CFB81421AD8B,APX1145-queryA.sql,1/1,100,CH1,1773060027181,complete,1773060136439,109.243113,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__APX1145-queryA.sql__1_1.csv,9983,109.258
start,CH1,1773060151461,0D30CFB81421AD8B,APX1145-queryB.sql,1/1,100,CH1,1773060151461,complete,1773060232310,80.835295,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__APX1145-queryB.sql__1_1.csv,7252,80.849
start,CH1,1773060247333,0D30CFB81421AD8B,APX1173-queryA.sql,1/1,100,CH1,1773060247333,complete,1773060445877,198.530728,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__APX1173-queryA.sql__1_1.csv,17577,198.544
start,CH1,1773060460900,0D30CFB81421AD8B,APX1173-queryB.sql,1/1,100,CH1,1773060460900,complete,1773060659353,198.437492,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__APX1173-queryB.sql__1_1.csv,17894,198.453
start,CH1,1773060674375,0D30CFB81421AD8B,APX1186-queryA.sql,1/1,100,CH1,1773060674375,complete,1773060808834,134.444914,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__APX1186-queryA.sql__1_1.csv,12092,134.459
start,CH1,1773060823857,0D30CFB81421AD8B,APX1186-queryB.sql,1/1,100,CH1,1773060823857,complete,1773060898467,74.597123,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__APX1186-queryB.sql__1_1.csv,6820,74.61
start,CH1,1773060913489,0D30CFB81421AD8B,APX1225-queryA.sql,1/1,100,CH1,1773060913489,complete,1773060965672,52.16904,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__APX1225-queryA.sql__1_1.csv,4517,52.183
start,CH1,1773060980695,0D30CFB81421AD8B,APX1225-queryB.sql,1/1,100,CH1,1773060980695,complete,1773060991334,10.625838,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__APX1225-queryB.sql__1_1.csv,1007,10.639
start,CH1,1773061006358,0D30CFB81421AD8B,APX1278-queryA.sql,1/1,100,CH1,1773061006358,complete,1773061089463,83.09043,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__APX1278-queryA.sql__1_1.csv,7638,83.105
start,CH1,1773061104486,0D30CFB81421AD8B,APX1278-queryB.sql,1/1,100,CH1,1773061104486,complete,1773061110225,5.726112,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__APX1278-queryB.sql__1_1.csv,404,5.739
start,CH1,1773061125247,0D30CFB81421AD8B,PE002-queryA.sql,1/1,100,CH1,1773061125247,complete,1773061135171,9.909929,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__PE002-queryA.sql__1_1.csv,896,9.924
start,CH1,1773061150194,0D30CFB81421AD8B,PE002-queryB.sql,1/1,100,CH1,1773061150194,complete,1773061159791,9.584095,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__PE002-queryB.sql__1_1.csv,906,9.597
start,CH1,1773061174814,0D30CFB81421AD8B,PE017-queryA.sql,1/1,100,CH1,1773061174814,complete,1773061526475,351.645804,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__PE017-queryA.sql__1_1.csv,31514,351.661
start,CH1,1773061541498,0D30CFB81421AD8B,PE017-queryB.sql,1/1,100,CH1,1773061541498,complete,1773061675010,133.497797,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__PE017-queryB.sql__1_1.csv,12155,133.512
start,CH1,1773061690033,0D30CFB81421AD8B,PE019-queryA.sql,1/1,100,CH1,1773061690033,complete,1773061740773,50.726994,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__PE019-queryA.sql__1_1.csv,4726,50.74
start,CH1,1773061755797,0D30CFB81421AD8B,PE019-queryB.sql,1/1,100,CH1,1773061755797,complete,1773061805492,49.681177,0,logs\chunked_sigless_runs\0D30CFB81421AD8B__PE019-queryB.sql__1_1.csv,4467,49.695
